Feature,F_score,p_value
Fabricante_LAMBORGHINI,1203.9688767577175,2.1756247313576637e-246
Idade,372.34617157179724,3.4716187031192356e-81
Ano,372.3461715667975,3.471618711443277e-81
Km,363.7907692908913,2.107940110987216e-79
Tipo_cambio_Tiptronic,239.62734875677955,2.6468740150991714e-53
Categoria_SUV,230.5344594079889,2.2422356601773266e-51
Volume_motor,145.76080329589598,2.7892103354152878e-33
Combustivel_Híbrido,143.40527281378357,8.945560924626474e-33
Fabricante_HYUNDAI,139.98097868923583,4.872252489439946e-32
Fabricante_BENTLEY,94.03055112530238,4.075067722574584e-22
Categoria_Sedan,90.9264630494132,1.9220912361155842e-21
Cilindros,88.60258411599663,6.143487653176044e-21
Couro_Sim,85.45987374004274,2.960187663235904e-20
Categoria_Hatchback,84.42402192552949,4.9719181387668244e-20
Km_por_ano,66.10952002710165,4.884722297050981e-16
Fabricante_SSANGYONG,54.29460092735034,1.8922327054582375e-13
Tipo_cambio_Manual,46.06889742955426,1.2204863942682142e-11
Fabricante_TOYOTA,40.266356946561785,2.332628206118863e-10
Fabricante_LAND ROVER,39.45668115605262,3.5238050858294e-10
Cor_Preto,36.77559630040306,1.3836439575968652e-09
Fabricante_OPEL,30.708061547099813,3.091445867112517e-08
Combustivel_Gás Natural,29.615211019846353,5.419961471328389e-08
Categoria_Universal,29.415280262107476,6.006696468507249e-08
Fabricante_PORSCHE,22.97635102920111,1.6687142697080384e-06
Tração_Dianteira,22.386887792349814,2.2659295357230484e-06
Fabricante_NISSAN,22.24107208837634,2.444186446178108e-06
Cor_Prata,19.55951084218191,9.876272379178558e-06
Fabricante_BMW,17.700146744813836,2.613414717017796e-05
Fabricante_VOLKSWAGEN,13.847720774135487,0.00019955308764113368
Débitos,12.371539109420011,0.00043827041428878404
Categoria_Vagao de carga,10.432478173581194,0.0012430311121786654
Cor_Azul,10.395921395785521,0.0012678507486913065
Cor_Verde,10.373430238030199,0.0012833694362228165
Fabricante_CHEVROLET,10.316152774647525,0.0013237645485443938
Fabricante_HONDA,9.010233546586678,0.0026927482879770754
Fabricante_SUBARU,8.821876024252182,0.0029849677154014436
Fabricante_JEEP,7.737292141922813,0.005421452181166727
Fabricante_DAEWOO,7.409341993245838,0.006502216193204122
Airbags,7.366607001257423,0.0066584134744043545
Cor_Vermelho,7.330483474725272,0.006793432273308841
Fabricante_FERRARI,6.977191040699023,0.008271058846882725
Fabricante_VAZ,6.901660807392105,0.008627480373544116
Fabricante_MAZDA,5.7357677081988685,0.016644942867267677
Fabricante_DODGE,5.726203030897663,0.01673578063892414
Fabricante_MITSUBISHI,5.319910290693988,0.021107728226424396
Categoria_Microonibus,5.289232098487574,0.021482498542136644
Tipo_cambio_Variator,4.912754470788019,0.02668623946994995
Fabricante_FORD,3.6907438783204376,0.0547495908498498
Portas_>5,3.521973156083589,0.06059553785225876
Fabricante_FIAT,3.5020939551074344,0.06132661152129832
Fabricante_JAGUAR,3.4698473613794363,0.0625325540891247
Fabricante_MERCEDES-BENZ,2.7539406205139008,0.09705302484381358
Cor_Cinza,2.50340955395344,0.11363840946098082
Categoria_Minivan,2.3929013866020084,0.12192553727011259
Categoria_Picape,2.253100940725192,0.13338517862555238
Fabricante_SUZUKI,2.107430322344518,0.14662326894521135
Numero_proprietarios,1.9796957031231608,0.1594600967512525
Fabricante_TESLA,1.8871962891219902,0.169555775856599
Fabricante_HUMMER,1.8344708790106357,0.1756374314657053
Fabricante_DAIHATSU,1.8086938955807679,0.17870191832551696
Km_imputado,1.7649306134706386,0.18404740791293975
Fabricante_CHRYSLER,1.6249942650481488,0.20243267402661558
Cor_Roxo,1.5465455230204015,0.21368143808871454
Fabricante_LEXUS,1.1622746008950002,0.28102579341565764
Fabricante_RENAULT,1.0577178489676886,0.3037663865808891
Radio_AM_FM_AM/FM,0.9556417348895689,0.32831602032945706
Historico_troca_oleo,0.9077485715204953,0.34074037778224464
Fabricante_PEUGEOT,0.8796250677635661,0.3483318162067114
Cor_Rosa,0.8685854056588874,0.3513744686034528
Cor_Branco,0.8406423483018414,0.3592398949680754
Fabricante_MOSKVICH,0.8104963744071148,0.36799978737241457
Cor_Bege,0.7338790050696427,0.39165358919027626
Fabricante_UAZ,0.6870552304259386,0.407191769464894
Categoria_Cupê,0.6053704910424309,0.43655853399527944
Fabricante_GMC,0.5987260554635484,0.43908665401838276
Cor_Marrom,0.5724218311989034,0.44931972784119245
Fabricante_KIA,0.5237155389762137,0.4692815240203977
Fabricante_CADILLAC,0.5143867403596606,0.4732662937568065
Fabricante_BUICK,0.4712834653385039,0.49241657901485714
Fabricante_AUDI,0.4363859052758979,0.5088904272004692
Fabricante_ZAZ,0.35415199936007624,0.5517884462723612
Fabricante_ROVER,0.3104740748671805,0.5774045193274451
Cor_Dourado,0.3097236926335524,0.577864866472011
Dias_desde_ultima_lavagem,0.2882628802927328,0.5913503364535622
Fabricante_ALFA ROMEO,0.281609465121419,0.5956625199116866
Tração_Traseira,0.27190510808937524,0.6020706452445128
Fabricante_GAZ,0.23430136865694468,0.6283654431760496
Fabricante_ISUZU,0.2264075399568822,0.6342130583752004
Fabricante_MASERATI,0.22064923624130772,0.6385580790831733
Fabricante_VOLVO,0.20033450697422478,0.6544627157934322
Fabricante_SEAT,0.19806380997034037,0.6562999059696273
Radio_AM_FM_FM,0.18892580224869177,0.663823526533996
Fabricante_CITROEN,0.17228173432704771,0.6781026505016323
Fabricante_MERCURY,0.15530962195144393,0.6935222450475321
Cor_Laranja,0.15048923766461011,0.6980782608078443
Fabricante_SAAB,0.1396868010337835,0.7086021665996389
Fabricante_LINCOLN,0.0968262708477831,0.7556798499221494
Fabricante_MINI,0.060993586395629414,0.8049385114463932
Portas_4-5,0.05132575473051547,0.8207778195140065
Fabricante_INFINITI,0.05020985522635152,0.8227040542331172
Fabricante_LANCIA,0.042979435440849804,0.8357691104327566
Categoria_Limousine,0.017289644139169596,0.8953908272218788
Fabricante_SCION,0.014700420990679988,0.9034996999175098
Combustivel_Gasolina,0.012590339775065575,0.9106622570091836
Fabricante_SKODA,0.010990669064999434,0.9165081783592454
Fabricante_HAVAL,0.010070867360621754,0.920065953075763
Fabricante_სხვა,0.0005875538888380586,0.9806621478454302
